Date,District Name,Todayâ€™s Positives,Total Positives,Todayâ€™s Discharges,Total Discharges,Total Active Cases,Todayâ€™s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
2020-07-01,Davanagere,16,325,1,266,51,0,8,0
2020-07-02,Davanagere,8,333,6,272,53,0,8,0
2020-07-03,Davanagere,5,338,13,285,44,1,9,0
2020-07-04,Davanagere,7,345,9,294,42,0,9,0
2020-07-05,Davanagere,11,356,7,301,44,2,11,0
2020-07-06,Davanagere,3,359,10,311,36,1,12,0
2020-07-07,Davanagere,6,365,0,311,41,1,13,0
2020-07-08,Davanagere,18,383,13,324,46,0,13,0
2020-07-10,Davanagere,21,444,11,339,91,1,14,0
2020-07-11,Davanagere,72,516,5,344,155,3,17,0
2020-07-12,Davanagere,20,536,66,410,106,3,20,0
2020-07-13,Davanagere,45,581,21,431,129,1,21,0
2020-07-14,Davanagere,17,598,37,468,108,1,22,0
2020-07-15,Davanagere,35,633,15,483,128,0,22,0
2020-07-16,Davanagere,25,658,11,494,142,0,22,0
2020-07-17,Davanagere,31,689,50,544,121,2,24,0
2020-07-19,Davanagere,62,807,11,571,207,2,29,0
2020-07-20,Davanagere,73,880,0,571,279,1,30,0
2020-07-21,Davanagere,95,975,70,641,304,0,30,0
2020-07-22,Davanagere,96,1071,0,641,400,0,30,0
2020-07-23,Davanagere,107,1178,26,667,481,0,30,0
2020-07-24,Davanagere,77,1255,84,751,472,2,32,0
2020-07-25,Davanagere,79,1334,59,810,491,1,33,0
2020-07-26,Davanagere,89,1423,57,867,520,3,36,0
2020-07-27,Davanagere,110,1533,60,927,569,1,37,0
2020-07-28,Davanagere,135,1668,36,963,664,4,41,0
2020-07-29,Davanagere,225,1893,18,981,867,4,45,0
2020-07-30,Davanagere,86,1979,85,1066,867,1,46,0
2020-07-31,Davanagere,122,2101,136,1202,851,2,48,0
2020-08-01,Davanagere,108,2209,188,1390,767,4,52,0
2020-08-02,Davanagere,178,2387,89,1479,853,3,55,0
2020-08-03,Davanagere,41,2428,82,1561,810,2,57,0
2020-08-04,Davanagere,191,2619,93,1654,903,5,62,0
2020-08-05,Davanagere,224,2843,91,1745,1030,6,68,0
2020-08-06,Davanagere,197,3040,97,1842,1122,8,76,0
2020-08-07,Davanagere,111,3151,206,2048,1025,2,78,0
2020-08-08,Davanagere,132,3283,61,2109,1094,2,80,0
2020-08-09,Davanagere,158,3441,117,2226,1126,9,89,0
2020-08-10,Davanagere,225,3666,106,2332,1234,11,100,0
2020-08-11,Davanagere,172,3838,145,2477,1257,4,104,0
2020-08-12,Davanagere,239,4077,170,2647,1320,6,110,0
2020-08-13,Davanagere,328,4405,224,2871,1421,3,113,0
2020-08-14,Davanagere,351,4756,282,3153,1483,7,120,0
2020-08-15,Davanagere,327,5083,267,3420,1538,5,125,0
2020-08-16,Davanagere,218,5301,109,3529,1644,3,128,0
2020-08-17,Davanagere,165,5466,212,3741,1597,0,128,0
2020-08-18,Davanagere,332,5798,42,3783,1886,1,129,0
2020-08-19,Davanagere,228,6026,66,3849,2041,7,136,0
2020-08-20,Davanagere,245,6271,381,4230,1900,5,141,0
2020-08-21,Davanagere,237,6508,158,4388,1972,7,148,0
2020-08-22,Davanagere,277,6785,349,4737,1895,5,153,0
2020-08-23,Davanagere,265,7050,178,4915,1980,2,155,0
2020-08-24,Davanagere,167,7217,115,5030,2025,7,162,0
2020-08-25,Davanagere,318,7535,600,5630,1738,5,167,0
2020-08-26,Davanagere,233,7768,162,5792,1804,5,172,0
2020-08-27,Davanagere,391,8159,236,6028,1959,0,172,0
2020-08-28,Davanagere,379,8538,208,6236,2124,6,178,0
2020-08-29,Davanagere,319,8857,228,6464,2212,3,181,0
2020-08-30,Davanagere,373,9230,168,6632,2413,4,185,0
2020-08-31,Davanagere,257,9487,371,7003,2293,6,191,0
2020-09-01,Davanagere,289,9776,362,7365,2216,4,195,0
2020-09-02,Davanagere,321,10097,119,7484,2417,1,196,0
2020-09-03,Davanagere,222,10319,139,7623,2500,0,196,0
2020-09-04,Davanagere,263,10582,125,7748,2628,10,206,0
2020-09-06,Davanagere,221,11198,207,8193,2792,0,213,0
2020-09-07,Davanagere,199,11397,173,8366,2815,3,216,0
2020-09-08,Davanagere,240,11637,198,8564,2855,2,218,0
2020-09-09,Davanagere,255,11892,405,8969,2703,2,220,0
2020-09-10,Davanagere,297,12189,244,9213,2753,3,223,0
2020-09-11,Davanagere,297,12486,274,9487,2775,1,224,0
2020-09-12,Davanagere,267,12753,484,9971,2557,1,225,0
2020-09-13,Davanagere,144,12897,322,10293,2378,1,226,0
2020-09-14,Davanagere,325,13222,129,10422,2574,0,226,0
2020-09-15,Davanagere,405,13627,226,10648,2752,1,227,0
2020-09-16,Davanagere,213,13840,85,10733,2879,0,228,0
2020-09-17,Davanagere,257,14097,0,10733,3136,0,228,0
2020-09-18,Davanagere,146,14243,466,11199,2816,0,228,0
2020-09-19,Davanagere,163,14406,132,11331,2844,3,231,0
2020-09-20,Davanagere,130,14536,171,11502,2803,0,231,0
2020-09-21,Davanagere,162,14698,137,11639,2825,3,234,0
2020-09-22,Davanagere,198,14896,133,11772,2890,0,234,0
2020-09-23,Davanagere,138,15034,0,11772,3028,0,234,0
2020-09-24,Davanagere,131,15165,320,12092,2835,4,238,0
2020-09-25,Davanagere,142,15307,203,12295,2774,0,238,0
2020-09-26,Davanagere,144,15451,73,12368,2843,2,240,0
2020-09-27,Davanagere,74,15525,116,12484,2801,0,240,0
2020-09-28,Davanagere,107,15632,100,12584,2807,1,241,0
2020-09-29,Davanagere,288,15920,152,12736,2943,0,241,0
2020-09-30,Davanagere,173,16093,112,12848,3004,0,241,0
2020-10-01,Davanagere,148,16241,605,13453,2547,0,241,0
2020-10-02,Davanagere,225,16466,1111,14564,1660,1,242,0
2020-10-03,Davanagere,129,16595,294,14858,1494,1,243,0
2020-10-04,Davanagere,106,16701,181,15039,1419,0,243,0
2020-10-05,Davanagere,178,16879,108,15147,1489,0,243,0
2020-10-06,Davanagere,279,17158,127,15274,1641,0,243,0
2020-10-07,Davanagere,141,17299,116,15390,1666,0,243,0
2020-10-08,Davanagere,238,17537,86,15476,1818,0,243,0
2020-10-09,Davanagere,450,17987,107,15583,2157,4,247,0
2020-10-10,Davanagere,345,18332,620,16203,1882,0,247,0
2020-10-11,Davanagere,122,18454,438,16641,1566,0,247,0
2020-10-12,Davanagere,114,18568,228,16869,1450,2,249,0
2020-10-13,Davanagere,106,18674,121,16990,1435,0,249,0
2020-10-14,Davanagere,82,18756,194,17184,1323,0,249,0
2020-10-15,Davanagere,103,18859,165,17349,1260,1,250,0
2020-10-16,Davanagere,280,19139,150,17499,1390,0,250,0
2020-10-17,Davanagere,41,19180,195,17694,1235,1,251,0
2020-10-18,Davanagere,84,19264,209,17903,1110,0,251,0
2020-10-19,Davanagere,104,19368,185,18088,1029,0,251,0
2020-10-20,Davanagere,206,19574,181,18269,1054,0,251,0
2020-10-21,Davanagere,304,19878,137,18406,1220,1,252,0
2020-10-22,Davanagere,58,19936,314,18720,963,1,253,0
2020-10-24,Davanagere,52,20286,335,19184,849,0,253,0
2020-10-25,Davanagere,72,20358,120,19304,801,0,253,0
2020-10-26,Davanagere,124,20482,81,19385,843,1,254,0
2020-10-27,Davanagere,36,20518,90,19475,789,0,254,0
2020-10-28,Davanagere,60,20578,90,19565,758,1,255,0
2020-10-29,Davanagere,94,20672,57,19622,794,1,256,0
2020-10-30,Davanagere,56,20728,70,19692,779,1,257,0
2020-10-31,Davanagere,47,20775,157,19849,669,0,257,0
2020-12-01,Davanagere,14,21622,27,21138,221,0,263,0
2020-12-02,Davanagere,15,21637,22,21160,214,0,263,0
2020-12-03,Davanagere,23,21660,18,21178,219,0,263,0
2020-12-04,Davanagere,12,21672,18,21196,213,0,263,0
2020-12-05,Davanagere,9,21681,46,21242,176,0,263,0
2020-12-06,Davanagere,15,21696,22,21264,169,0,263,0
2020-12-07,Davanagere,10,21706,26,21290,153,0,263,0
2020-12-08,Davanagere,12,21718,24,21314,141,0,263,0
2020-12-09,Davanagere,6,21724,14,21328,133,0,263,0
2020-12-10,Davanagere,15,21739,12,21340,136,0,263,0
2020-12-11,Davanagere,27,21766,10,21350,152,1,264,0
2020-12-12,Davanagere,13,21779,43,21393,122,0,264,0
2020-12-13,Davanagere,11,21790,12,21405,121,0,264,0
2020-12-14,Davanagere,18,21808,9,21414,130,0,264,0
2020-12-15,Davanagere,7,21815,14,21428,123,0,264,0
2020-12-16,Davanagere,26,21841,10,21438,139,0,264,0
2020-12-17,Davanagere,16,21857,13,21451,142,0,264,0
2020-12-18,Davanagere,15,21872,5,21456,152,0,264,0
2020-12-19,Davanagere,12,21884,14,21470,150,0,264,0
2020-12-20,Davanagere,14,21898,24,21494,140,0,264,0
2020-12-21,Davanagere,7,21905,14,21508,133,0,264,0
2020-12-22,Davanagere,20,21925,11,21519,142,0,264,0
2020-12-23,Davanagere,7,21932,17,21536,132,0,264,0
2020-12-24,Davanagere,19,21951,8,21544,143,0,264,0
2020-12-25,Davanagere,7,21958,35,21579,115,0,264,0
2020-12-26,Davanagere,14,21972,7,21586,122,0,264,0
2020-12-27,Davanagere,15,21987,14,21600,123,0,264,0
2020-12-28,Davanagere,4,21991,12,21612,115,0,264,0
2020-12-29,Davanagere,12,22003,12,21624,115,0,264,0
2020-12-30,Davanagere,8,22011,7,21631,116,0,264,0
2020-12-31,Davanagere,16,22027,20,21651,112,0,264,0
2021-01-01,Davanagere,10,22037,18,21669,104,0,264,0
2021-01-02,Davanagere,4,22041,20,21689,88,0,264,0
2021-01-03,Davanagere,16,22057,6,21695,98,0,264,0
2021-01-04,Davanagere,2,22059,14,21709,86,0,264,0
2021-01-05,Davanagere,4,22063,16,21725,74,0,264,0
2021-01-06,Davanagere,10,22073,3,21728,81,0,264,0
2021-01-07,Davanagere,13,22086,14,21742,80,0,264,0
2021-01-08,Davanagere,16,22102,5,21747,91,0,264,0
2021-01-09,Davanagere,13,22115,15,21762,89,0,264,0
2021-01-10,Davanagere,19,22134,12,21774,96,0,264,0
2021-01-11,Davanagere,4,22138,3,21777,97,0,264,0
2021-01-12,Davanagere,16,22154,16,21793,97,0,264,0
2021-01-13,Davanagere,24,22178,4,21797,117,0,264,0
2021-01-14,Davanagere,10,22188,3,21800,124,0,264,0
2021-01-15,Davanagere,6,22194,11,21811,119,0,264,0
2021-01-16,Davanagere,9,22203,12,21823,116,0,264,0
2021-01-17,Davanagere,13,22216,15,21838,114,0,264,0
2021-01-18,Davanagere,8,22224,16,21854,106,0,264,0
2021-01-19,Davanagere,5,22229,18,21872,93,0,264,0
2021-01-20,Davanagere,10,22239,4,21876,99,0,264,0
2021-01-21,Davanagere,7,22246,17,21893,89,0,264,0
2021-01-22,Davanagere,5,22251,22,21915,72,0,264,0
2021-01-23,Davanagere,13,22264,10,21925,75,0,264,0
2021-01-24,Davanagere,10,22274,6,21931,79,0,264,0
2021-01-25,Davanagere,5,22279,6,21937,78,0,264,0
2021-01-26,Davanagere,5,22284,16,21953,67,0,264,0
2021-01-27,Davanagere,14,22298,8,21961,73,0,264,0
2021-01-28,Davanagere,3,22301,5,21966,71,0,264,0
2021-01-29,Davanagere,8,22309,9,21975,70,0,264,0
2021-01-30,Davanagere,13,22322,8,21983,75,0,264,0
2021-01-31,Davanagere,8,22330,8,21991,75,0,264,0
2021-02-01,Davanagere,0,22330,9,22000,66,0,264,0
2021-02-02,Davanagere,7,22337,10,22010,63,0,264,0
2021-02-03,Davanagere,12,22349,4,22014,71,0,264,0
2021-02-04,Davanagere,3,22352,14,22028,60,0,264,0
2021-02-05,Davanagere,2,22354,6,22034,56,0,264,0
2021-02-06,Davanagere,5,22359,3,22037,58,0,264,0
2021-02-07,Davanagere,6,22365,8,22045,56,0,264,0
2021-02-08,Davanagere,0,22365,13,22058,43,0,264,0
2021-02-09,Davanagere,1,22366,8,22066,36,0,264,0
2021-02-10,Davanagere,9,22375,1,22067,44,0,264,0
2021-02-11,Davanagere,5,22380,8,22075,41,0,264,0
2021-02-12,Davanagere,5,22385,11,22086,35,0,264,0
2021-02-13,Davanagere,5,22390,2,22088,38,0,264,0
2021-02-14,Davanagere,8,22398,2,22090,44,0,264,0
2021-02-15,Davanagere,2,22400,4,22094,42,0,264,0
2021-02-16,Davanagere,2,22402,6,22100,38,0,264,0
2021-02-17,Davanagere,5,22407,0,22100,43,0,264,0
2021-02-18,Davanagere,4,22411,1,22101,46,0,264,0
2021-02-19,Davanagere,5,22416,9,22110,42,0,264,0
2021-02-20,Davanagere,8,22424,5,22115,45,0,264,0
2021-02-21,Davanagere,2,22426,5,22120,42,0,264,0
2021-02-22,Davanagere,2,22428,5,22125,39,0,264,0
2021-02-23,Davanagere,0,22428,8,22133,31,0,264,0
2021-02-24,Davanagere,4,22432,0,22133,35,0,264,0
2021-02-25,Davanagere,1,22433,5,22138,31,0,264,0
2021-02-26,Davanagere,1,22434,4,22142,28,0,264,0
2021-02-27,Davanagere,1,22435,5,22147,24,0,264,0
2021-02-28,Davanagere,5,22440,5,22152,24,0,264,0
2021-03-01,Davanagere,2,22442,7,22159,19,0,264,0
2021-03-02,Davanagere,3,22445,2,22161,20,0,264,0
2021-03-03,Davanagere,3,22448,2,22163,21,0,264,0
2021-03-04,Davanagere,4,22452,0,22163,25,0,264,0
2021-03-05,Davanagere,3,22455,4,22167,24,0,264,0
2021-03-06,Davanagere,7,22462,1,22168,30,0,264,0
2021-03-07,Davanagere,2,22464,1,22169,31,0,264,0
2021-03-08,Davanagere,1,22465,5,22174,27,0,264,0
2021-03-09,Davanagere,1,22466,2,22176,26,0,264,0
2021-03-10,Davanagere,3,22469,3,22179,26,0,264,0
2021-03-11,Davanagere,7,22476,3,22182,30,0,264,0
2021-03-12,Davanagere,0,22476,5,22187,25,0,264,0
2021-03-13,Davanagere,5,22481,3,22190,27,0,264,0
2021-03-14,Davanagere,3,22484,6,22196,24,0,264,0
2021-03-15,Davanagere,0,22484,2,22198,22,0,264,0
2021-03-16,Davanagere,7,22491,4,22202,25,0,264,0
2021-03-17,Davanagere,5,22496,0,22202,30,0,264,0
2021-03-18,Davanagere,6,22502,3,22205,33,0,264,0
2021-03-19,Davanagere,11,22513,6,22211,38,0,264,0
2021-03-20,Davanagere,10,22523,0,22211,48,0,264,0
2021-03-21,Davanagere,8,22531,5,22216,51,0,264,0
2021-03-22,Davanagere,8,22539,3,22219,56,0,264,0
2021-03-23,Davanagere,6,22545,0,22219,62,0,264,0
2021-03-24,Davanagere,8,22553,7,22226,63,0,264,0
2021-03-25,Davanagere,8,22561,5,22231,66,0,264,0
2021-03-26,Davanagere,6,22567,7,22238,65,0,264,0
2021-03-27,Davanagere,4,22571,17,22255,52,0,264,0
2021-03-28,Davanagere,7,22578,7,22262,52,0,264,0
2021-03-29,Davanagere,2,22580,10,22272,44,0,264,0
2021-03-30,Davanagere,9,22589,3,22275,50,0,264,0
2021-03-31,Davanagere,16,22605,8,22283,58,0,264,0
2021-04-01,Davanagere,17,22622,8,22291,67,0,264,0
2021-04-02,Davanagere,21,22643,7,22298,81,0,264,0
2021-04-03,Davanagere,29,22672,5,22303,105,0,264,0
2021-04-04,Davanagere,23,22695,4,22307,124,0,264,0
2021-04-05,Davanagere,9,22704,7,22314,126,0,264,0
2021-04-06,Davanagere,47,22751,3,22317,170,0,264,0
2021-04-07,Davanagere,20,22771,10,22327,180,0,264,0
2021-04-08,Davanagere,28,22799,22,22349,186,0,264,0
2021-04-09,Davanagere,29,22828,12,22361,203,0,264,0
2021-04-10,Davanagere,49,22877,22,22383,230,0,264,0
2021-04-11,Davanagere,50,22927,26,22409,254,0,264,0
2021-04-12,Davanagere,40,22967,23,22432,271,0,264,0
2021-04-13,Davanagere,66,23033,9,22441,328,0,264,0
2021-04-14,Davanagere,34,23067,47,22488,315,0,264,0
2021-04-15,Davanagere,60,23127,21,22509,354,0,264,0
2021-04-16,Davanagere,85,23212,25,22534,414,0,264,0
2021-04-17,Davanagere,122,23334,33,22567,503,0,264,0
2021-04-18,Davanagere,133,23467,39,22606,597,0,264,0
2021-04-19,Davanagere,199,23666,42,22648,754,0,264,0
2021-04-20,Davanagere,136,23802,43,22691,847,0,264,0
2021-04-21,Davanagere,200,24002,57,22748,990,0,264,0
2021-04-22,Davanagere,157,24159,21,22769,1126,0,264,0
2021-04-23,Davanagere,200,24359,60,22829,1266,0,264,0
2021-04-24,Davanagere,254,24613,121,22950,1397,2,266,0
2021-04-25,Davanagere,242,24855,96,23046,1542,1,267,0
2021-04-26,Davanagere,105,24960,181,23227,1466,0,267,0
2021-04-27,Davanagere,300,25260,178,23405,1587,1,268,0
2021-04-28,Davanagere,196,25456,156,23561,1624,3,271,0
2021-04-29,Davanagere,196,25652,182,23743,1638,0,271,0
2021-04-30,Davanagere,438,26090,150,23893,1920,6,277,0
2021-05-01,Davanagere,386,26476,203,24096,2097,6,283,0
2021-05-02,Davanagere,317,26793,264,24360,2148,2,285,0
2021-05-03,Davanagere,104,26897,224,24584,2025,3,288,0
2021-05-04,Davanagere,277,27174,102,24686,2200,0,288,0
2021-05-05,Davanagere,548,27722,212,24898,2534,2,290,0
2021-05-06,Davanagere,672,28394,273,25171,2930,3,293,0
2021-05-07,Davanagere,538,28932,258,25429,3208,2,295,0
2021-05-08,Davanagere,323,29255,372,25801,3158,1,296,0
2021-05-09,Davanagere,453,29708,393,26194,3213,5,301,0
2021-05-10,Davanagere,197,29905,301,26495,3106,3,304,0
2021-05-11,Davanagere,212,30117,107,26602,3208,3,307,0
2021-05-12,Davanagere,362,30479,326,26928,3243,1,308,0
2021-05-13,Davanagere,494,30973,753,27681,2984,0,308,0
2021-05-14,Davanagere,581,31554,451,28132,3113,1,309,0
2021-05-15,Davanagere,292,31846,487,28619,2916,2,311,0
2021-05-16,Davanagere,1155,33001,414,29033,3656,1,312,0
2021-05-17,Davanagere,747,33748,356,29389,4044,3,315,0
2021-05-18,Davanagere,594,34342,187,29576,4447,4,319,0
2021-05-19,Davanagere,700,35042,357,29933,4789,1,320,0
2021-05-20,Davanagere,538,35580,569,30502,4757,1,321,0
2021-05-21,Davanagere,681,36261,525,31027,4912,1,322,0
2021-05-22,Davanagere,478,36739,823,31850,4563,4,326,0
2021-05-23,Davanagere,363,37102,471,32321,4452,3,329,0
2021-05-24,Davanagere,633,37735,574,32895,4508,3,332,0
2021-05-25,Davanagere,515,38250,495,33390,4525,3,335,0
2021-05-26,Davanagere,1309,39559,598,33988,5233,3,338,0
2021-05-27,Davanagere,806,40365,699,34687,5338,2,340,0
2021-05-28,Davanagere,522,40887,521,35208,5337,2,342,0
2021-05-29,Davanagere,449,41336,845,36053,4936,5,347,0
2021-05-30,Davanagere,698,42034,853,36906,4773,8,355,0
2021-05-31,Davanagere,360,42394,818,37724,4314,1,356,0
2021-06-01,Davanagere,178,42572,436,38160,4051,5,361,0
2021-06-02,Davanagere,535,43107,203,38363,4378,5,366,0
2021-06-03,Davanagere,559,43666,1000,39363,3930,7,373,0
2021-06-04,Davanagere,620,44286,418,39781,4124,8,381,0
2021-06-05,Davanagere,529,44815,511,40292,4138,4,385,0
2021-06-06,Davanagere,143,44958,398,40690,3877,6,391,0
2021-06-07,Davanagere,380,45338,407,41097,3845,5,396,0
2021-06-08,Davanagere,384,45722,371,41468,3854,4,400,0
2021-06-09,Davanagere,227,45949,228,41696,3846,7,407,0
2021-06-10,Davanagere,313,46262,161,41857,3991,7,414,0
2021-06-11,Davanagere,260,46522,143,42000,4104,4,418,0
2021-06-12,Davanagere,372,46894,84,42084,4386,6,424,0
2021-06-13,Davanagere,391,47285,377,42461,4393,7,431,0
2021-06-14,Davanagere,200,47485,315,42776,4268,10,441,0
2021-06-15,Davanagere,183,47668,789,43565,3655,7,448,0
2021-06-16,Davanagere,207,47875,1094,44659,2761,7,455,0
2021-06-17,Davanagere,153,48028,174,44833,2729,11,466,0
2021-06-18,Davanagere,174,48202,309,45142,2584,10,476,0
2021-06-19,Davanagere,194,48396,828,45970,1939,11,487,0
2021-06-20,Davanagere,136,48532,385,46355,1683,7,494,0
2021-06-21,Davanagere,176,48708,150,46505,1702,7,501,0
2021-06-22,Davanagere,90,48798,103,46608,1680,9,510,0
2021-06-23,Davanagere,119,48917,165,46773,1626,8,518,0
2021-06-24,Davanagere,118,49035,38,46811,1703,3,521,0
2021-06-25,Davanagere,89,49124,299,47110,1488,5,526,0
2021-06-26,Davanagere,80,49204,316,47426,1247,5,531,0
2021-06-27,Davanagere,118,49322,28,47454,1335,2,533,0
